gap,comparisons,swaps,accesses,elapsed_ns,elapsed_ms
50000,50000,493,150493,2329900,2
25000,75778,1178,226956,2020100,2
12500,89737,2496,267233,1156700,1
6250,98471,4857,290828,1089100,1
3125,106105,9316,309171,937100,0
1562,130615,32231,359722,1200700,1
781,124433,25235,348106,1108900,1
390,175128,75539,449887,1823000,1
195,145690,45897,391197,1398800,1
97,231298,131405,562509,1223200,1
48,223264,123318,546486,909900,0
24,177827,77853,455632,617200,0
12,262490,162503,624969,863800,0
6,248184,148191,596363,767300,0
3,274790,174793,649577,736000,0
1,460488,360489,1020975,1021700,1
0,2874298,1375794,7250104,22341100,22
