gap,comparisons,swaps,accesses,elapsed_ns,elapsed_ms
50000,50000,24854,174854,3267500,3
25000,95890,33436,279326,1949700,1
12500,126794,45572,347366,1521300,1
6250,154466,63908,405874,1493800,1
3125,184339,89042,467131,2216700,2
1562,321140,223886,741902,4388800,4
781,186051,87247,471736,3350500,3
390,306056,206729,712005,2774300,2
195,215821,116118,531549,744500,0
97,383556,283730,867092,1254600,1
48,443736,343817,987457,1155000,1
24,305238,205276,710466,908500,0
12,360137,260155,820268,828400,0
6,320467,220478,740933,811600,0
3,279810,179814,659618,909400,0
1,456901,356904,1013803,1100100,1
0,4190402,2740966,9931380,32354800,32
