gap,comparisons,swaps,accesses,elapsed_ns,elapsed_ms
50000,50000,50000,200000,4333100,4
25000,100000,50000,300000,1411900,1
12500,125000,50000,350000,1457300,1
6250,137500,50000,375000,1239600,1
3125,143750,50000,387500,990300,0
1562,146923,50048,393847,1019400,1
781,148359,49920,396717,1023300,1
390,149141,49920,398281,1027200,1
195,149531,49920,399061,1019900,1
97,150494,50688,400988,1074900,1
48,149058,49152,398114,1266800,1
24,149106,49152,398210,349600,0
12,149130,49152,398258,209800,0
6,149142,49152,398282,188900,0
3,149148,49152,398294,189000,0
1,198303,98304,496605,243100,0
0,2244585,844560,6089157,20541200,20
